,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Failure Type Cat
9953,9954,L57133,L,298.1,307.8,1565,35.3,119,0,No Failure,1
3850,3851,M18710,M,302.3,311.0,1421,41.3,182,0,No Failure,1
4962,4963,M19822,M,304.0,312.7,1456,51.2,160,0,No Failure,1
3886,3887,L51066,L,302.4,311.3,1392,50.5,51,0,No Failure,1
5437,5438,M20297,M,302.9,312.6,1394,46.4,82,0,No Failure,1
8517,8518,M23377,M,298.3,309.6,1469,54.8,191,0,No Failure,1
2041,2042,L49221,L,299.1,308.9,1680,27.2,110,0,No Failure,1
1989,1990,L49169,L,298.2,307.9,1785,23.4,181,0,No Failure,1
1933,1934,L49113,L,298.1,308.0,1638,35.1,38,0,No Failure,1
9984,9985,H39398,H,298.7,308.4,1432,42.8,197,0,No Failure,1
8418,8419,L55598,L,298.9,310.2,1971,23.2,155,0,No Failure,1
2418,2419,L49598,L,298.9,308.3,1660,34.4,9,0,No Failure,1
6811,6812,L53991,L,300.9,310.6,1504,46.4,129,0,No Failure,1
1217,1218,L48397,L,297.0,308.1,1455,43.5,122,0,No Failure,1
6978,6979,L54158,L,300.7,311.1,1427,50.3,137,0,No Failure,1
6111,6112,M20971,M,300.7,310.8,1486,41.2,71,0,No Failure,1
7865,7866,L55045,L,300.5,311.9,1383,50.5,35,0,No Failure,1
7781,7782,L54961,L,300.4,311.7,1513,40.0,51,0,No Failure,1
7775,7776,L54955,L,300.3,311.5,1663,33.6,38,0,No Failure,1
7039,7040,H36453,H,300.6,310.5,1519,37.0,91,0,No Failure,1
7673,7674,M22533,M,300.5,311.6,1476,39.1,199,0,No Failure,1
2907,2908,M17767,M,300.6,309.4,1581,35.7,117,0,No Failure,1
1266,1267,L48446,L,298.0,309.6,1633,34.8,41,0,No Failure,1
2370,2371,L49550,L,299.2,308.4,1620,34.1,89,0,No Failure,1
3092,3093,M17952,M,300.0,309.3,2293,16.3,170,0,No Failure,1
130,131,L47310,L,298.8,308.4,1473,41.1,128,0,No Failure,1
1988,1989,H31402,H,298.3,307.9,1420,39.2,176,0,No Failure,1
7877,7878,L55057,L,300.7,312.3,1420,53.8,67,0,No Failure,1
6450,6451,L53630,L,300.6,310.2,1378,47.3,71,0,No Failure,1
6880,6881,M21740,M,300.9,311.3,1801,24.6,100,0,No Failure,1
1768,1769,M16628,M,298.3,307.8,1485,42.0,13,0,No Failure,1
9059,9060,L56239,L,297.2,308.3,1805,25.6,103,0,No Failure,1
5512,5513,L52692,L,302.8,312.2,1682,30.9,58,0,No Failure,1
6343,6344,L53523,L,300.2,309.8,1827,23.0,6,0,No Failure,1
6702,6703,M21562,M,301.6,310.8,1664,32.0,58,0,No Failure,1
574,575,M15434,M,297.9,310.0,1439,41.7,185,0,No Failure,1
6426,6427,L53606,L,300.2,309.7,1448,36.8,14,0,No Failure,1
1520,1521,L48700,L,298.3,309.1,1472,40.1,31,0,No Failure,1
9887,9888,L57067,L,298.8,309.5,1368,44.7,147,0,No Failure,1
1958,1959,H31372,H,297.9,307.7,1464,43.2,97,0,No Failure,1
4487,4488,L51667,L,302.5,310.5,1436,36.5,43,0,No Failure,1
859,860,H30273,H,296.2,307.0,1542,40.6,28,0,No Failure,1
2874,2875,L50054,L,300.6,309.5,1471,49.6,29,0,No Failure,1
8594,8595,L55774,L,297.4,308.0,1356,51.9,184,0,No Failure,1
9725,9726,M24585,M,298.7,309.7,1629,27.9,136,0,No Failure,1
3265,3266,L50445,L,301.3,310.1,1355,53.6,193,0,No Failure,1
3727,3728,L50907,L,302.3,311.2,1786,24.3,81,0,No Failure,1
8738,8739,L55918,L,297.3,308.7,1531,36.7,116,0,No Failure,1
4437,4438,L51617,L,302.4,310.2,1578,31.2,139,0,No Failure,1
3304,3305,L50484,L,301.2,310.3,1497,45.7,76,0,No Failure,1
8133,8134,L55313,L,299.8,311.1,1466,46.1,58,0,No Failure,1
8460,8461,L55640,L,298.7,309.9,1372,54.7,44,0,No Failure,1
3059,3060,M17919,M,300.0,309.0,1368,45.8,81,0,No Failure,1
1764,1765,H31178,H,298.2,307.6,1318,55.7,0,0,No Failure,1
7565,7566,M22425,M,300.3,311.2,1783,25.6,139,0,No Failure,1
4687,4688,L51867,L,303.5,311.6,2183,17.0,110,0,No Failure,1
9781,9782,L56961,L,298.8,309.9,1441,41.6,62,0,No Failure,1
