,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Failure Type Cat
7826,7827,L55006,L,299.8,311.1,1300,64.2,165,0,No Failure,1
4914,4915,M19774,M,303.5,312.3,1532,41.7,32,0,No Failure,1
7947,7948,L55127,L,300.8,311.7,1426,45.5,16,0,No Failure,1
677,678,L47857,L,297.9,309.2,1478,39.7,10,0,No Failure,1
355,356,L47535,L,297.6,308.3,1623,36.9,61,0,No Failure,1
7630,7631,L54810,L,300.5,311.6,1534,37.7,90,0,No Failure,1
7020,7021,L54200,L,300.8,310.8,1460,53.8,41,0,No Failure,1
3684,3685,L50864,L,302.0,311.2,1270,65.3,182,1,Overstrain Failure,2
4102,4103,L51282,L,302.0,310.4,1450,46.6,165,0,No Failure,1
1805,1806,H31219,H,298.1,307.7,1376,56.2,113,0,No Failure,1
7814,7815,L54994,L,300.0,311.4,1927,24.6,132,0,No Failure,1
3410,3411,L50590,L,301.2,310.3,1451,39.7,123,0,No Failure,1
3865,3866,H33279,H,302.6,311.5,1629,34.4,228,1,Tool Wear Failure,5
5658,5659,M20518,M,302.2,311.4,1372,55.1,9,0,No Failure,1
7586,7587,L54766,L,300.4,311.1,1589,35.5,191,0,No Failure,1
7884,7885,L55064,L,300.8,312.4,1465,59.1,91,1,Power Failure,3
133,134,M14993,M,298.7,308.4,1430,49.6,135,0,No Failure,1
4099,4100,L51279,L,302.0,310.4,1464,47.2,159,0,No Failure,1
4768,4769,L51948,L,303.6,312.0,1309,52.9,86,1,Heat Dissipation Failure,0
2831,2832,M17691,M,300.3,309.2,1490,47.9,163,0,No Failure,1
2594,2595,L49774,L,298.8,308.5,1446,37.0,11,0,No Failure,1
3852,3853,L51032,L,302.3,310.9,2034,19.7,190,0,No Failure,1
2153,2154,H31567,H,299.3,308.8,1397,45.4,191,0,No Failure,1
9224,9225,L56404,L,297.9,309.0,1450,46.8,118,0,No Failure,1
2448,2449,L49628,L,299.4,308.9,1440,42.5,87,0,No Failure,1
2767,2768,L49947,L,300.0,309.5,1925,21.9,9,0,No Failure,1
4712,4713,L51892,L,303.4,311.8,1564,35.9,171,0,No Failure,1
8707,8708,L55887,L,297.2,308.5,1471,41.7,41,0,No Failure,1
8480,8481,L55660,L,298.4,309.6,1477,35.6,101,0,No Failure,1
9416,9417,M24276,M,298.1,308.5,1463,45.9,3,0,No Failure,1
5605,5606,L52785,L,302.9,312.2,1510,41.4,94,0,No Failure,1
5419,5420,L52599,L,302.6,312.3,1321,53.4,42,0,No Failure,1
4158,4159,L51338,L,301.9,310.4,1889,21.5,92,0,No Failure,1
3528,3529,L50708,L,302.0,310.9,1378,53.1,212,1,Overstrain Failure,2
7613,7614,L54793,L,300.5,311.3,1475,46.3,49,0,No Failure,1
1832,1833,M16692,M,297.8,307.4,1330,51.7,183,0,No Failure,1
7431,7432,M22291,M,300.0,311.4,1352,61.8,10,0,No Failure,1
2464,2465,M17324,M,298.9,308.5,1534,42.9,121,0,No Failure,1
4932,4933,L52112,L,303.3,312.1,1418,44.7,83,0,No Failure,1
1387,1388,L48567,L,298.9,310.1,1823,26.1,131,0,No Failure,1
8432,8433,L55612,L,298.8,310.0,1537,39.9,190,0,No Failure,1
6147,6148,M21007,M,301.1,311.1,2089,19.8,162,0,No Failure,1
9847,9848,L57027,L,298.4,309.1,1362,46.1,37,0,No Failure,1
4710,4711,L51890,L,303.4,311.7,1673,32.2,166,0,No Failure,1
2635,2636,H32049,H,299.9,309.6,1462,51.0,119,0,No Failure,1
2310,2311,M17170,M,299.0,308.4,1535,47.5,163,0,No Failure,1
1057,1058,L48237,L,296.8,307.8,1573,36.4,126,0,No Failure,1
6684,6685,L53864,L,301.6,310.9,1538,40.4,13,0,No Failure,1
